antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'HAND WARMER OWL DESIGN'}),frozenset({'HAND WARMER UNION JACK'}),0.03211281543790203,0.023701138050470066,0.011677387431964375,0.36363636363636365,15.342569747580185,1.0,0.010916277160081393,1.53418392592069,0.9658376361126733,0.2645739910313902,0.3481876696108108,0.4281647371417726
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER OWL DESIGN'}),0.023701138050470066,0.03211281543790203,0.011677387431964375,0.49269311064718163,15.342569747580185,1.0,0.010916277160081393,1.907892845289074,0.9575160914297299,0.2645739910313902,0.4758615493164736,0.4281647371417726
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.023701138050470066,0.026966848095002473,0.010638297872340425,0.44885177453027136,16.6445768133152,1.0,0.009999152882854715,1.7654654536458096,0.9627383659051449,0.2657601977750309,0.4335771351770549,0.42167359368715407
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER UNION JACK'}),0.026966848095002473,0.023701138050470066,0.010638297872340425,0.3944954128440367,16.6445768133152,1.0,0.009999152882854715,1.6123723629166482,0.9659695244177178,0.2657601977750309,0.37979586911854346,0.42167359368715407
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03780306778822365,0.10895596239485403,0.012370113805047007,0.3272251308900524,3.003278789867375,1.0,0.008251244172703193,1.3244312154286606,0.6932370667489458,0.09204712812960238,0.24495890133762546,0.22037914128517153
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.030628401781296388,0.03780306778822365,0.014349332013854528,0.4684975767366721,12.393109981476627,1.0,0.013191484465071231,1.8103340457115187,0.9483566521573066,0.2653247941445563,0.4476157577829961,0.42403936428456646
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.03780306778822365,0.030628401781296388,0.014349332013854528,0.3795811518324608,12.393109981476627,1.0,0.013191484465071231,1.5624470486056743,0.9554281174747399,0.2653247941445563,0.35997831037384675,0.42403936428456646
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.030628401781296388,0.10895596239485403,0.010786739238000989,0.35218093699515346,3.2323236769627846,1.0,0.007449592245303579,1.3754520181485916,0.7124461288393518,0.08374951978486363,0.27296627813594243,0.22559092263018343
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.020435428005937655,0.021029193468579913,0.01504205838693716,0.7360774818401937,35.002649195271324,1.0,0.01461231781778706,3.709311404564005,0.9916964758084026,0.5692883895131085,0.7304081833707513,0.7256857997436262
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.021029193468579913,0.020435428005937655,0.01504205838693716,0.7152941176470587,35.002649195271324,1.0,0.01461231781778706,3.4406193644419534,0.9922979596451325,0.5692883895131085,0.7093546556370691,0.7256857997436262
