support,itemsets
0.10895596239485403,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'})
0.02261256803562593,frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'})
0.020880752102919346,frozenset({'RED WOOLLY HOTTIE WHITE HEART.'})
0.01855517070757051,frozenset({'SET 7 BABUSHKA NESTING BOXES'})
0.01479465611083622,frozenset({'WHITE METAL LANTERN'})
0.013854527461652647,frozenset({'CREAM CUPID HEARTS COAT HANGER'})
0.023701138050470066,frozenset({'HAND WARMER UNION JACK'})
0.07080653142008907,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
0.03780306778822365,frozenset({'HOME BUILDING BLOCK WORD'})
0.030628401781296388,frozenset({'LOVE BUILDING BLOCK WORD'})
0.028451261751608115,frozenset({'DOORMAT NEW ENGLAND'})
0.021573478476001978,frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'})
0.021029193468579913,"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})"
0.020435428005937655,"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})"
0.012716476991588323,frozenset({'BOX OF VINTAGE ALPHABET BLOCKS'})
0.010836219693221178,frozenset({'BOX OF VINTAGE JIGSAW BLOCKS'})
0.010242454230578922,frozenset({'BOX OF 6 ASSORTED COLOUR TEASPOONS'})
0.05388421573478476,frozenset({'JAM MAKING SET WITH JARS'})
0.013013359722909451,frozenset({'BATH BUILDING BLOCK WORD'})
0.05294408708560119,frozenset({'POSTAGE'})
0.050816427511133105,frozenset({'ALARM CLOCK BAKELIKE RED'})
0.04784760019792182,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.043740722414646216,frozenset({'SPACEBOY LUNCH BOX'})
0.04151410192973776,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
0.037555665512122714,frozenset({'ALARM CLOCK BAKELIKE PINK'})
0.035774369124195946,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'})
0.03483424047501237,frozenset({'LUNCH BOX I LOVE LONDON'})
0.029440870856011877,frozenset({'VINTAGE HEADS AND TAILS CARD GAME'})
0.02632360217714003,frozenset({'SET 2 TEA TOWELS I LOVE LONDON'})
0.020385947550717466,frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'})
0.019198416625432955,frozenset({'SET/2 RED RETROSPOT TEA TOWELS'})
0.019148936170212766,frozenset({'CIRCUS PARADE LUNCH BOX'})
0.018159327065809007,frozenset({'MINI PAINT SET VINTAGE'})
0.05655616031667492,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})"
0.054032657100445323,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'})
0.04740227610094013,frozenset({'WOODEN FRAME ANTIQUE WHITE'})
0.026669965363681346,frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'})
0.019643740722414645,frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'})
0.017219198416625434,frozenset({'SAVE THE PLANET MUG'})
0.015437902028698665,frozenset({'EDWARDIAN PARASOL RED'})
0.03567540821375557,frozenset({'RED HANGING HEART T-LIGHT HOLDER'})
0.03132112815437902,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'})
0.07624938149430975,frozenset({'LUNCH BAG RED RETROSPOT'})
0.06328550222662048,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
0.0599208312716477,frozenset({'JUMBO BAG PINK POLKADOT'})
0.05828797624938149,frozenset({'JUMBO STORAGE BAG SUKI'})
0.045769421078673926,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'})
0.042256308758040574,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'})
0.04161306284017813,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'})
0.039485403265710046,frozenset({'60 TEATIME FAIRY CAKE CASES'})
0.035428005937654626,frozenset({'STRAWBERRY CHARLOTTE BAG'})
0.02874814448292924,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'})
0.028154379020286988,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'})
0.02558139534883721,frozenset({'SET/6 RED SPOTTY PAPER PLATES'})
0.02380009896091044,frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'})
0.014844136566056407,frozenset({'JUMBO BAG CHARLIE AND LOLA TOYS'})
0.05522018802572984,frozenset({'JAM MAKING SET PRINTED'})
0.05769421078673924,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'})
0.04636318654131618,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC'})
0.03681345868381989,frozenset({'GIN + TONIC DIET METAL SIGN'})
0.034636318654131616,frozenset({'COOK WITH WINE METAL SIGN'})
0.029737753587333004,frozenset({'PAPER CHAIN KIT RETROSPOT'})
0.02577931716971796,frozenset({'EDWARDIAN PARASOL NATURAL'})
0.023453735774369124,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'})
0.021672439386442355,"frozenset({""YOU'RE CONFUSING ME METAL SIGN""})"
0.02137555665512123,frozenset({'CLEAR DRAWER KNOB ACRYLIC EDWARDIAN'})
